name,os,processor,generation,ram,ssd,hdd,display,price
lenovo,windows 11,intel core i5,11,16,512,0,15.6,62990
lenovo,windows 11,intel core i3,11,8,256,1,15.6,37500
asus,windows 11,intel core i5,10,8,512,0,15.6,49990
asus,windows 11,intel core i3,10,8,512,0,15.6,33990
lenovo,other,amd other,0,4,256,0,14.0,18990
apple,mac,apple m1 processor,0,8,256,0,13.3,86990
asus,windows 11,intel core other,0,4,256,0,14.0,23990
dell,windows 11,other,0,8,256,0,14.0,36890
lenovo,windows 11,intel core i3,11,8,512,0,15.6,33999
redmibook,windows 11,intel core i5,11,8,512,0,15.6,38990
acer,windows 11,other,0,8,256,0,15.6,26990
asus,windows 11,intel core i5,12,16,512,0,14.0,66990
asus,windows 11,intel core i3,11,8,512,0,15.6,37990
asus,windows 11,intel core i7,11,16,512,0,15.6,56990
dell,windows 11,intel core i3,11,8,256,1,15.6,39990
realme,windows 10,intel core i3,11,8,256,0,14.0,46990
hp,windows 11,intel core i3,11,8,256,0,14.0,37990
hp,windows 11,other,0,16,512,0,15.6,49123
msi,windows 11,other,0,8,512,0,15.6,47990
asus,windows 11,intel core i5,12,16,512,0,14.0,86500
hp,windows 11,intel core i3,12,8,512,0,15.6,44990
hp,windows 11,intel core i5,11,8,512,0,15.6,52990
hp,windows 11,other,0,8,512,0,15.6,38990
lenovo,windows 11,intel core i3,11,8,256,0,14.0,33890
asus,windows 11,intel core i3,10,8,512,0,14.0,33990
hp,windows 11,amd other,0,8,256,0,14.0,26990
lenovo,windows 11,intel core i3,11,8,512,0,15.6,38500
hp,windows 11,other,0,8,512,0,14.0,45909
asus,windows 11,other,0,8,256,1,15.6,49990
hp,windows 11,intel core i3,11,8,512,0,15.6,40950
lenovo,windows 11,intel core i5,11,16,512,0,15.6,52890
asus,windows 11,other,0,16,512,0,15.6,99990
asus,windows 11,other,0,16,512,0,15.6,59990
hp,windows 11,intel core i5,12,8,512,0,15.6,58018
lenovo,windows 11,intel core i3,11,8,512,0,15.6,38699
samsung,windows 11,other,0,4,512,0,14.0,32990
hp,windows 11,other,0,8,512,0,14.0,53990
acer,windows 11,intel core i5,12,8,512,0,14.0,64990
lenovo,windows 11,intel core i5,11,8,512,0,15.6,52990
asus,windows 11,intel core i7,12,16,1024,0,17.3,109990
hp,windows 11,intel core i5,12,16,512,0,14.0,68114
lenovo,windows 11,intel core i5,12,8,512,0,15.6,56049
asus,windows 11,other,0,4,256,0,14.0,25990
acer,windows 11,intel core i3,11,8,512,0,15.6,33990
asus,windows 11,other,0,8,512,0,14.0,38990
lenovo,windows 11,other,0,8,512,0,15.6,47039
dell,windows 11,intel core i5,12,16,512,0,15.6,67990
asus,windows 11,intel core i3,11,8,512,0,14.0,40990
